Location,Slope
USA,0.009388276975310668
Turkey,0.10212772586079144
Israel,0.0758070779008481
Italy,0.07466572659791347
Spain,0.06780480660780706
Ireland,0.06414440817423353
France,0.06152335600991534
Germany,0.02915031914335044
Denmark,0.027674943046731626
South Korea,0.0350781460658673
France,0.06152335600991534
Japan,0.040162221326192994
Netherlands,0.058982838160523736
Switzerland,0.07116519825384988
Poland,0.09542145825823867
Mexico,0.07115347466259206
Brazil,0.07624498200547312
Canada,0.06868033922260278
Belgium,0.023895002584688255
